GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
campus-living-backend,com.campusliving.service.usuario,LocalDiskDocumentStorageService,93,16,15,0,22,4,11,2,2,2
campus-living-backend,com.campusliving.service.usuario,UserServiceImpl,167,374,20,51,36,91,18,37,6,13
campus-living-backend,com.campusliving.service.imovel,ImovelService,0,207,1,9,0,56,1,7,0,3
campus-living-backend,com.campusliving.service.imovel,AnuncioService,50,991,19,50,4,252,20,37,1,20
campus-living-backend,com.campusliving.service.imovel,ImageStorageService.StoredImage,0,9,0,0,0,1,0,1,0,1
campus-living-backend,com.campusliving.service.imovel,ImagemAnuncioService,198,280,51,28,18,49,38,12,3,7
campus-living-backend,com.campusliving.service.imovel,SupabaseImageStorageService,170,25,8,2,33,7,8,2,3,2
campus-living-backend,com.campusliving.service.avaliacao,PalavraoFilter,0,149,1,7,0,16,1,7,0,4
campus-living-backend,com.campusliving.service.avaliacao,AvaliacaoServiceImpl,8,188,1,21,2,50,1,15,0,5
campus-living-backend,com.campusliving.model.imovel,ComodidadeImovel.Tipo,0,45,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.model.imovel,Anuncio.TipoOferta,0,15,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.model.imovel,Imovel.Tipo,0,27,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.model.imovel,Anuncio.Status,0,21,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.model.imovel,RegrasCasa.TipoAlimentacao,0,33,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.model.imovel,RegrasCasa.NivelBarulho,0,21,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.model.imovel,RegrasCasa.RestricaoGenero,0,21,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.model.usuario,User.Tipo,0,27,0,0,0,5,0,1,0,1
campus-living-backend,com.campusliving.model.usuario,User,47,21,6,0,10,7,13,7,10,7
campus-living-backend,com.campusliving.model.usuario,VerificacaoLocador.Status,0,21,0,0,0,4,0,1,0,1
campus-living-backend,com.campusliving.exception.roommate,MatchDuplicadoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.roommate,AutoMatchException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.roommate,PerfilRoommateNaoEncontradoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.roommate,StatusMatchInvalidoException,0,6,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.roommate,MatchNaoEncontradoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.service.denuncia,DenunciaService,0,197,1,11,0,56,1,9,0,4
campus-living-backend,com.campusliving.model.denuncia,Denuncia.Status,0,27,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.model.denuncia,Denuncia.Motivo,0,33,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.model.denuncia,Denuncia.TipoAlvo,0,15,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception,ProjectException,14,10,0,0,6,4,2,2,2,2
campus-living-backend,com.campusliving.exception,CustomErrorType,15,0,0,0,5,0,1,0,1,0
campus-living-backend,com.campusliving.exception,ErrorHandler,69,3,4,0,18,1,6,1,4,1
campus-living-backend,com.campusliving.controller.usuario,UserController,139,9,2,0,26,4,15,1,14,1
campus-living-backend,com.campusliving.dto.interacao,ContatoResponseDTO,0,27,0,0,0,8,0,1,0,1
campus-living-backend,com.campusliving.dto.interacao,FavoritoResponseDTO,0,15,0,0,0,5,0,1,0,1
campus-living-backend,com.campusliving.exception.interacao,AnuncioNaoEncontradoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.interacao,FavoritoDuplicadoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.service.email,EmailService,98,10,4,0,23,4,6,2,4,2
campus-living-backend,com.campusliving.controller.admin,AdminController,65,0,2,0,13,0,7,0,6,0
campus-living-backend,com.campusliving.controller.auth,AuthController,115,0,2,0,31,0,10,0,9,0
campus-living-backend,com.campusliving.service.geocoding,NominatimGeocodingService,83,36,10,0,18,12,7,2,2,2
campus-living-backend,com.campusliving.service.geocoding,NominatimGeocodingService.NominatimResult,9,0,0,0,1,0,1,0,1,0
campus-living-backend,com.campusliving.service.geocoding,GeocodingService.Coordenadas,0,9,0,0,0,1,0,1,0,1
campus-living-backend,com.campusliving.dto.avaliacao,AvaliacaoResponseDTO,0,39,0,0,0,11,0,1,0,1
campus-living-backend,com.campusliving,CampusLivingApplication,5,3,0,0,2,1,1,1,1,1
campus-living-backend,com.campusliving.config,AsyncConfig,0,3,0,0,0,1,0,1,0,1
campus-living-backend,com.campusliving.config,ModelMapperConfig,0,7,0,0,0,2,0,2,0,2
campus-living-backend,com.campusliving.config,OpenApiConfig,0,33,0,0,0,12,0,2,0,2
campus-living-backend,com.campusliving.controller.notificacao,NotificacaoController,43,6,2,0,5,3,6,1,5,1
campus-living-backend,com.campusliving.controller.denuncia,DenunciaController,27,0,0,0,6,0,2,0,2,0
campus-living-backend,com.campusliving.service.audit,AuditLogService,35,0,0,0,13,0,3,0,3,0
campus-living-backend,com.campusliving.service.auth,EmailVerificationService,6,99,2,4,0,26,3,5,1,4
campus-living-backend,com.campusliving.service.auth,AuthService,0,282,0,22,0,77,0,14,0,3
campus-living-backend,com.campusliving.service.auth,OAuth2Service,63,0,4,0,18,0,3,0,1,0
campus-living-backend,com.campusliving.service.auth,PasswordResetService,6,132,2,6,0,34,3,6,1,4
campus-living-backend,com.campusliving.exception.imovel,ImagemNaoEncontradaException,5,0,0,0,1,0,1,0,1,0
campus-living-backend,com.campusliving.exception.imovel,ImagemInvalidaException,0,5,0,0,0,1,0,1,0,1
campus-living-backend,com.campusliving.exception.imovel,LimiteImagensException,0,5,0,0,0,1,0,1,0,1
campus-living-backend,com.campusliving.exception.imovel,StorageException,5,0,0,0,1,0,1,0,1,0
campus-living-backend,com.campusliving.controller.interacao,ContatoController,16,6,2,0,4,3,2,1,1,1
campus-living-backend,com.campusliving.model.roommate,PerfilRoommate.NivelBarulho,0,21,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.model.roommate,RoommateMatch.Status,0,27,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.avaliacao,VinculoNaoEncontradoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.avaliacao,AutoAvaliacaoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.avaliacao,AvaliacaoNaoEncontradaException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.avaliacao,ComentarioImproprioException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.avaliacao,AvaliacaoDuplicadaException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.dto.imovel,ImagemAnuncioResponseDTO,0,27,0,0,0,5,0,1,0,1
campus-living-backend,com.campusliving.controller.imovel,AnuncioController,77,25,0,0,18,4,5,2,5,2
campus-living-backend,com.campusliving.controller.imovel,ImovelController,18,0,0,0,4,0,1,0,1,0
campus-living-backend,com.campusliving.controller.imovel,ImagemAnuncioController,46,6,6,0,6,1,7,1,4,1
campus-living-backend,com.campusliving.service.interacao,ContatoServiceImpl,53,80,7,7,17,24,5,6,1,3
campus-living-backend,com.campusliving.service.admin,AdminService,284,100,5,3,58,30,12,3,9,2
campus-living-backend,com.campusliving.controller.audit,AuditLogController,4,0,0,0,1,0,1,0,1,0
campus-living-backend,com.campusliving.exception.usuario,AcessoNegadoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.usuario,EmailEmUsoException,5,0,0,0,2,0,1,0,1,0
campus-living-backend,com.campusliving.exception.usuario,VerificacaoJaPendenteException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.usuario,DocumentoInvalidoException,6,0,0,0,2,0,1,0,1,0
campus-living-backend,com.campusliving.exception.usuario,TipoContaInvalidoException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.exception.usuario,UserNotFoundException,0,5,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.controller.roommate,RoommateController,55,6,2,0,9,3,6,1,5,1
campus-living-backend,com.campusliving.service.roommate,RoommateServiceImpl,51,559,30,62,13,159,28,34,0,16
campus-living-backend,com.campusliving.dto.admin,AdminModerarDenunciaRequestDTO.Acao,0,15,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.dto.notificacao,NotificacaoResponseDTO,2,41,1,1,0,8,1,2,0,2
campus-living-backend,com.campusliving.dto.roommate,RoommateMatchResponseDTO,1,36,1,1,0,9,1,1,0,1
campus-living-backend,com.campusliving.dto.roommate,PerfilRoommateResponseDTO,0,63,0,0,0,17,0,1,0,1
campus-living-backend,com.campusliving.utilities.security,SecurityConfig,0,164,0,0,0,28,0,9,0,9
campus-living-backend,com.campusliving.service.notificacao,NotificacaoService,0,69,0,2,0,19,0,8,0,7
campus-living-backend,com.campusliving.dto.usuario,UserPublicProfileDTO,0,49,0,4,0,15,0,3,0,1
campus-living-backend,com.campusliving.dto.usuario,VerificacaoLocadorResponseDTO,0,23,0,0,0,7,0,1,0,1
campus-living-backend,com.campusliving.dto.usuario,UserResponseDTO,0,39,0,0,0,11,0,1,0,1
campus-living-backend,com.campusliving.controller.avaliacao,AvaliacaoController,45,6,4,0,9,3,6,1,4,1
campus-living-backend,com.campusliving.model.notificacao,Notificacao.Tipo,0,33,0,0,0,2,0,1,0,1
campus-living-backend,com.campusliving.config.security,JwtService,109,3,4,0,24,1,13,1,11,1
campus-living-backend,com.campusliving.config.security,JwtAuthenticationFilter,107,48,20,8,22,16,14,2,0,2
campus-living-backend,com.campusliving.config.security,CustomUserDetailsService,30,0,4,0,7,0,3,0,1,0
campus-living-backend,com.campusliving.config.security,OAuth2SuccessHandler,37,0,0,0,10,0,2,0,2,0
campus-living-backend,com.campusliving.model.interacao,Contato.Status,0,21,0,0,0,4,0,1,0,1
